"W","A","event","time"
0,2,0,6
0,1,0,6
0,1,0,6
0,2,0,6
1,0,0,6
1,0,2,4.97461875764668
0,1,0,6
0,1,0,6
0,1,0,6
1,0,0,6
0,1,2,5.39908103765967
0,1,1,1.42546663541217
0,2,2,1.61162888655772
1,0,0,6
0,1,0,6
0,1,0,6
0,1,0,6
1,1,1,3.35558098127158
1,1,0,6
0,2,0,6
1,0,1,2.15308221243762
1,0,0,6
1,0,0,6
0,1,0,6
0,2,0,6
1,0,0,6
0,2,0,6
1,0,1,4.0128983062027
0,2,2,3.58329908875411
0,1,0,6
1,1,2,3.82578626203184
0,1,0,6
0,2,2,1.81660154988925
0,2,0,6
1,1,2,2.54668249031379
0,2,0,6
1,0,1,3.8861200303461
0,1,2,4.57643361348901
0,1,0,6
0,2,2,5.9616786132568
0,2,0,6
0,2,2,4.9753490129871
0,2,0,6
0,2,2,5.68825741191579
0,2,2,3.80449755530171
0,1,0,6
1,1,1,5.73275413317393
0,1,0,6
0,2,0,6
1,0,1,2.12585838658125
1,0,0,6
1,0,1,2.47148184670352
1,0,0,6
1,0,0,6
1,1,2,0.810597180727068
1,0,0,6
1,0,1,4.17866694618029
1,0,0,6
1,0,0,6
0,2,2,5.12106422102108
0,2,0,6
1,0,0,6
1,0,1,5.62830230819937
0,1,0,6
1,1,0,6
1,0,1,0.862130331494129
0,2,0,6
0,2,0,6
1,0,1,3.0522522219806
0,1,1,4.46701990150137
0,2,2,2.25678441353244
0,1,0,6
0,2,2,1.96234865799308
0,2,0,6
0,2,0,6
1,1,0,6
0,2,0,6
1,0,0,6
1,0,0,6
1,0,2,4.72288780302532
0,1,0,6
1,1,2,4.99367606402596
0,1,0,6
0,2,0,6
0,2,1,5.81532823843416
1,1,0,6
0,1,1,2.00961077483155
1,1,1,2.32751209377828
1,0,0,6
1,0,0,6
0,2,0,6
0,1,0,6
0,1,2,2.50868955721413
1,1,0,6
0,1,0,6
1,1,1,5.74571021206559
1,0,0,6
1,1,1,0.222201555653447
1,1,0,6
1,1,1,5.44269944438855
1,1,2,5.04749408074167
1,0,2,4.17380242967946
1,1,0,6
0,1,0,6
1,0,0,6
1,1,1,2.9725933097747
1,0,1,3.12567344250044
0,1,0,6
1,1,0,6
1,0,1,0.711689453743798
0,2,0,6
0,1,0,6
0,1,0,6
1,1,1,1.62645753001597
1,0,0,6
1,1,1,2.57137582870164
0,1,0,6
0,1,0,6
1,0,0,6
0,2,0,6
0,1,0,6
1,1,0,6
0,2,0,6
1,0,0,6
0,2,0,6
1,0,0,6
1,1,1,3.12634542987815
1,0,1,5.23463547401002
1,0,1,4.57418942601859
1,0,0,6
1,1,1,3.858164720471
1,0,0,6
0,2,2,2.63477692421892
1,1,1,4.80802346732453
0,2,2,0.490721683537753
0,2,0,6
0,1,1,1.37192693865133
1,1,0,6
1,1,2,3.88462095530618
1,1,0,6
1,0,0,6
1,0,2,4.23377078873841
1,0,1,5.86573163158452
0,1,0,6
0,1,0,6
0,2,0,6
1,0,0,6
0,1,2,0.358959482171236
0,1,2,2.89523086013448
1,1,0,6
1,1,0,6
1,1,2,3.6866442786034
1,0,1,1.40119690023098
1,0,1,1.52011645088576
0,2,1,4.45483956787239
1,0,0,6
1,1,2,2.82248681361505
0,2,0,6
0,2,2,5.33041192545637
0,1,0,6
0,2,0,6
0,1,1,1.18955097682871
1,1,1,1.42771211186929
0,1,0,6
0,2,2,3.30170285235633
1,0,0,6
1,1,2,1.81364875601665
1,0,2,1.0444190282977
0,1,0,6
0,2,0,6
1,0,0,6
0,1,0,6
0,1,0,6
0,2,2,3.99895290644026
1,1,0,6
0,2,0,6
0,2,0,6
0,1,0,6
1,1,0,6
1,1,0,6
0,1,1,5.50841624583905
1,1,0,6
1,1,0,6
0,1,1,4.36457630472767
1,0,2,0.894077008585474
0,1,0,6
1,1,2,4.9793094318671
0,2,0,6
1,1,0,6
0,1,2,3.89775226023619
0,2,0,6
1,1,0,6
0,1,1,2.27126412050017
1,1,1,2.54443859507112
1,1,2,3.20184149062905
0,2,0,6
0,1,2,1.38135713854382
0,1,0,6
1,1,0,6
0,1,0,6
1,0,0,6
1,0,0,6
0,2,0,6
0,1,0,6
1,1,0,6
